uniprotkb	uniprotkb	proteinName	proteinName	PubmedID	Evidence
P01241	P61289	GH1	PSME3	17353931	PINA
P01241	P61326	GH1	MAGOH	17353931	PINA
O14757	P04637	CHEK1	TP53	11896572, 15364958, 16511572, 12756247	PINA
P01241	Q99471	GH1	PFDN5	17353931	PINA
P04637	Q96M61	TP53	MAGEB18	16713569, 16189514	PINA
P63104	Q13625	YWHAZ	TP53BP2	15161933	PINA
P04637	Q92793	TP53	CREBBP	9194564, 19166313, 11782467, 10848610, 10823891, 14722092, 10196247, 9288775, 15632413, 19805293, 21390126, 12426395, 16537920, 18485870	PINA
P04637	Q92794	TP53	MYST3	19001415	PINA
P04637	Q92769	TP53	HDAC2	20190809, 17827154, 14976551, 10777477	PINA
P04637	Q92754	TP53	TFAP2C	12226108	PINA
Q96QZ7	Q9UHC3	MAGI1	ACCN3	15317815	PINA
P04637	Q96J94	TP53	PIWIL1	20308539	PINA
P01241	Q8WUH6	GH1	C12orf23	17353931	PINA
P04637	Q96J02	TP53	ITCH	18559494	PINA
P04637	P32780	TP53	GTF2H1	18354501, 7935417	PINA
P04637	P32745	TP53	SSTR3	8961277	PINA
P04637	Q14191	TP53	WRN	11427532, 12080066, 15735006	PINA
P04637	Q96KB5	TP53	PBK	20622899, 17482142	PINA
P04637	Q92831	TP53	KAT2B	16959611, 16678111, 12068014, 16537920, 9744860, 17977830	PINA
P04637	Q92830	TP53	KAT2A	18250150	PINA
P04637	Q14999	TP53	CUL7	16547496, 17298945	PINA
Q13625	Q92843	TP53BP2	BCL2L2	10.1073/pnas.0711269105, 18719108, 10.1074/jbc.M708717200	PINA
P04637	A8MT69	TP53	STRA13	17347673	PINA
O75832	P04637	PSMD10	TP53	16023600	PINA
P04637	P60484	TP53	PTEN	12620407	PINA
P04637	Q14974	TP53	KPNB1	11297531	PINA
P04637	Q96PM5	TP53	RCHY1	17568776, 19043414, 12654245	PINA
P04637	Q96PM9	TP53	ZNF385A	17719541	PINA
P04637	P18146	TP53	EGR1	14744935, 11251186	PINA
P01241	P21266	GH1	GSTM3	17353931	PINA
Q13107	Q13625	USP4	TP53BP2	16169070	PINA
P04637	Q96QH2	TP53	PRAM1	14976551	PINA
P01241	P55786	GH1	NPEPPS	17353931	PINA
P01241	P25788	GH1	PSMA3	17353931	PINA
P04637	P18074	TP53	ERCC2	7663514	PINA
P04637	P53779	TP53	MAPK10	9393873	PINA
P01241	P43487	GH1	RANBP1	17353931	PINA
P04637	P60510	TP53	PPP4C	9837938	PINA
P98164	Q96QZ7	LRP2	MAGI1	11274227	PINA
P04637	Q14695	TP53	KIAA0087	16169070	PINA
P04637	Q14676	TP53	MDC1	14519663	PINA
Q12888	Q9NS91	TP53BP1	RAD18	19228710	PINA
P26641	Q53FA7	EEF1G	TP53I3	16169070	PINA
P04637	P53355	TP53	DAPK1	17339337	PINA
P04637	P53350	TP53	PLK1	19833129, 16753148	PINA
O94776	P04637	MTA2	TP53	12920132, 11099047	PINA
P04637	Q96S44	TP53	TP53RK	11546806, 12659830	PINA
O43257	P04637	ZNHIT1	TP53	17380123	PINA
P04637	P60953	TP53	CDC42	16169070	PINA
P04637	P14174	TP53	MIF	18815136	PINA
P04637	Q96ST3	TP53	SIN3A	11359905, 10521394, 10823891	PINA
O15350	Q13625	TP73	TP53BP2	18275817	PINA
P04637	Q12824	TP53	SMARCB1	11950834	PINA
P04637	P51813	TP53	BMX	16186805	PINA
P04637	P49642	TP53	PRIM1	11917009	PINA
P01241	Q00796	GH1	SORD	17353931	PINA
P04637	Q12888	TP53	TP53BP1	11877378, 8016121, 12351827, 14978302, 15611139, 12110597, 15364958	PINA
P04637	Q12873	TP53	CHD3	10961991	PINA
P04637	Q12962	TP53	TAF10	18250150	PINA
P04637	P51948	TP53	MNAT1	9372954, 9840937	PINA
P04637	P51946	TP53	CCNH	9840937	PINA
P04637	P51959	TP53	CCNG1	12642871, 12556559	PINA
P04637	Q12980	TP53	NPRL3	20308539	PINA
P01241	P06748	GH1	NPM1	17353931	PINA
O95251	P04637	MYST2	TP53	17954561	PINA
P04637	Q8IW41	TP53	MAPKAPK5	17254968	PINA
P04637	P49888	TP53	SULT1E1	16169070	PINA
P04637	P49848	TP53	TAF6	20096117, 7809597	PINA
P04637	P49841	TP53	GSK3B	14744935, 12048243	PINA
P01241	P39019	GH1	RPS19	17353931	PINA
P04637	P49757	TP53	NUMB	18172499	PINA
O75529	P04637	TAF5L	TP53	18250150	PINA
Q12888	Q96PY6	TP53BP1	NEK1	14690447	PINA
P01241	P27361	GH1	MAPK3	17353931	PINA
Q7L1Q6	Q96QZ7	BZW1	MAGI1	17353931	PINA
O94868	Q96QZ7	FCHSD2	MAGI1	14627983	PINA
P15927	Q12888	RPA2	TP53BP1	15856006	PINA
O14867	P04637	BACH1	TP53	19011633	PINA
O75376	P04637	NCOR1	TP53	19011633	PINA
P04637	Q01484	TP53	ANK2	20195357	PINA
Q53FA7	Q9BWH2	TP53I3	FUNDC2	16169070	PINA
P04637	Q8IZD2	TP53	MLL5	21423215	PINA
Q12888	Q96SD1	TP53BP1	DCLRE1C	15574327	PINA
P04637	Q8IZT6	TP53	ASPM	20308539	PINA
P04637	P51532	TP53	SMARCA4	17666433, 11950834, 18303029	PINA
Q12888	Q96RU2	TP53BP1	USP28	16901786, 19615732	PINA
P04637	P51587	TP53	BRCA2	9811893, 14636569	PINA
Q13432	Q13625	UNC119	TP53BP2	16169070	PINA
P01241	P14923	GH1	JUP	17353931	PINA
Q96A56	Q9H2X6	TP53INP1	HIPK2	12851404	PINA
O15350	P04637	TP73	TP53	11238924	PINA
P04637	Q8IX12	TP53	CCAR1	18382127	PINA
P04183	P04637	TK1	TP53	16169070	PINA
P04637	P24941	TP53	CDK2	10884347	PINA
P04637	P49459	TP53	UBE2A	12640129	PINA
P04637	Q8IWT3	TP53	CUL9	18230339, 12526791, 17380154	PINA
P04637	P20338	TP53	RAB4A	16169070	PINA
Q12888	Q14676	TP53BP1	MDC1	17925396, 18986980, 12607005	PINA
P04637	P12429	TP53	ANXA3	16169070	PINA
O15519	P04637	CFLAR	TP53	18559494	PINA
P04637	Q9UQR1	TP53	ZNF148	11416144	PINA
P04637	P24844	TP53	MYL9	20308539	PINA
P04637	P51784	TP53	USP11	19615732	PINA
Q96S44	Q9Y3C4	TP53RK	TPRKB	16189514, 12659830	PINA
P04637	P20248	TP53	CCNA2	10884347	PINA
P04637	P20226	TP53	TBP	7799929, 11313951, 1465435, 10359315, 9349482	PINA
O14576	P04637	DYNC1I1	TP53	16616141	PINA
P04637	Q9H7Z6	TP53	MYST1	16601686, 17189187, 19854137, 15960975	PINA
P04637	Q01094	TP53	E2F1	11739724	PINA
O14980	P04637	XPO1	TP53	17268548, 18952844	PINA
P04637	Q5VTR2	TP53	RNF20	16337599, 19410543	PINA
P63279	Q12888	UBE2I	TP53BP1	20016603	PINA
P04637	P12956	TP53	XRCC6	15782130	PINA
P04637	Q05397	TP53	PTK2	15855171, 19857493, 18206965	PINA
O75478	P04637	TADA2A	TP53	18250150	PINA
Q12888	Q14186	TP53BP1	TFDP1	8896460	PINA
P04637	Q09472	TP53	EP300	9809062, 16438982, 18485870, 11907332, 15186775, 11782467, 15542844, 10518217, 16024799, 19805293, 16782091, 17452980, 16537920, 11070080, 10.1038/emboj.2009.83, 16678111, 16611888, 18612383, 15295102, 17977830, 9194564	PINA
