uniprotkb	uniprotkb	proteinName	proteinName	PubmedID	Evidence
P04637	Q9UM07	TP53	PADI4	18505818, 20190809	PINA
P01241	Q13347	GH1	EIF3I	17353931	PINA
P27694	Q12888	RPA1	TP53BP1	15856006	PINA
P04637	Q9UM63	TP53	PLAGL1	11360197	PINA
P01241	P49720	GH1	PSMB3	17353931	PINA
P00374	P04637	DHFR;	TP53	18451149	PINA
P04637	P62988	TP53	RPS27A	18632619, 17592138, 12917636, 17470788, 12771937, 15632057, 17936559, 16107876, 18583933, 15210108, 17369817, 17908790, 17098746, 14761977, 12421820, 15308643, 16579792, 15064742, 15247280, 18309296, 16678111, 15184379, 16537920, 17967871, 16023600, 14517281, 17353187, 17371868, 12167711, 18359851, 18695251, 17500067, 18566590, 18382127, 17380154, 11713287, 18264029, 15295102, 17879958, 14702041	PINA
P04637	P62979	TP53	RPS27A	18695251	PINA
P04637	Q9ULJ6	TP53	ZMIZ1	17584785	PINA
P04637	Q99933	TP53	BAG1	9582267	PINA
P04637	Q99986	TP53	VRK1	15542844, 10951572, 10747897	PINA
P04637	Q99973	TP53	TEP1	10597287	PINA
P04637	Q8NHY2	TP53	RFWD2	15103385, 16931761	PINA
P04637	Q9UL18	TP53	EIF2C1	20308539	PINA
P04637	Q9UKY1	TP53	ZHX1	15383276	PINA
P04637	Q6EMB2	TP53	TTLL5	20308539	PINA
P04637	P62913	TP53	RPL11	14612427, 15308643	PINA
P04637	Q9UKV8	TP53	EIF2C2	20308539	PINA
O95376	P04637	ARIH2	TP53	16169070	PINA
P04637	Q99608	TP53	NDN	10347180	PINA
P04637	Q99612	TP53	KLF6	15131018	PINA
P04637	Q99627	TP53	COPS8	11285227	PINA
P04637	Q9UNS2	TP53	COPS3	11285227	PINA
P00491	P04637	PNP	TP53	16169070	PINA
P04637	Q99547	TP53	MPHOSPH6	16169070	PINA
P01241	P49591	GH1	SARS	17353931	PINA
P04637	Q86Z02	TP53	HIPK1	12702766	PINA
P04637	P34932	TP53	HSPA4	18223694	PINA
P04637	P34931	TP53	HSPA1L	17184779	PINA
P04637	Q8WUF5	TP53	PPP1R13L	18275817, 12524540	PINA
P04637	Q9UNE7	TP53	STUB1	18223694	PINA
P04637	Q9UNL4	TP53	ING4	15251430, 12750254, 15882981, 18775696, 17954561	PINA
P04637	Q86XK2	TP53	FBXO11	17098746	PINA
P04637	Q99728	TP53	BARD1	14636569, 15782130	PINA
P04637	Q9UNH5	TP53	CDC14A	10644693	PINA
P04637	Q9UN74	TP53	PCDHA4	16169070	PINA
P04637	Q8WTS6	TP53	SETD7	15525938, 16415881, 17108971	PINA
P04637	Q86Y07	TP53	VRK2	16704422	PINA
P36873	Q13625	PPP1CC	TP53BP2	10.1074/jbc.M708717200, 8549741	PINA
P08588	Q96QZ7	ADRB1	MAGI1	16316992	PINA
P04637	Q9Y2A0	TP53	TP53TG1	16169070	PINA
P01241	P99999	GH1	CYCS	17353931	PINA
P04637	Q8N680	TP53	ZBTB2	19380588	PINA
P01241	Q7L2H7	GH1	EIF3M	17353931	PINA
P04637	Q9Y294	TP53	ASF1A	20308539	PINA
P04637	Q8N726	TP53	CDKN2A	9724636, 12740913	PINA
P04637	Q9Y3D8	TP53	TAF9	7761466, 18250150	PINA
P01241	P67870	GH1	CSNK2B	17353931	PINA
P01241	P29353	GH1	SHC1	7535773	PINA
P04637	Q07817	TP53	BCL2L1	16151013, 12667443	PINA
P04637	Q9Y4A5	TP53	TRRAP	18250150, 12138177	PINA
O00458	P04637	IFRD1	TP53	17130840	PINA
Q13625	Q53FJ3	TP53BP2	Q53FJ3	16169070	PINA
P01241	P29692	GH1	EEF1D	17353931	PINA
P04637	Q8N488	TP53	RYBP	19098711	PINA
P04637	P42226	TP53	STAT6	20121258	PINA
O75937	P01241	DNAJC8	GH1	17353931	PINA
Q15418	Q96QZ7	RPS6KA1	MAGI1	16217014	PINA
P04637	P42345	TP53	MTOR	19619545	PINA
P01241	P16471	GH1	PRLR	7984244, 9556914	PINA
P04637	P06493	TP53	CDK1	11327730, 10884347, 9467949	PINA
P04637	Q4W5N3	TP53	CTBP1	18765668	PINA
P04637	Q9Y675	TP53	SNURF	16169070	PINA
P04637	Q8N2W9	TP53	PIAS4	15383276, 11388671	PINA
P04637	P35354	TP53	PTGS2	11687965	PINA
P04637	Q7L5N1	TP53	COPS6	11285227	PINA
P60520	Q8IXH6	GABARAPL2	TP53INP2	10.1038/embor.2009.242	PINA
O43261	P04637	DLEU1	TP53	16169070	PINA
P04637	P06748	TP53	NPM1	12080348, 15144954, 16376884, 16740634	PINA
P04637	Q8N114	TP53	SHISA5	12135983	PINA
P04637	P06703	TP53	S100A6	20591429	PINA
P00519	P04637	ABL1	TP53	10713716, 10629029	PINA
P51812	Q96QZ7	RPS6KA3	MAGI1	16217014	PINA
P01241	Q9UM00	GH1	TMCO1	17353931	PINA
P01241	Q16740	GH1	CLPP	17353931	PINA
P04637	P10599	TP53	TXN	19681600	PINA
P04637	Q6ZSW6	TP53	Q6ZSW6	16169070	PINA
P01241	Q16658	GH1	FSCN1	17353931	PINA
P04637	P26583	TP53	HMGB2	11748232	PINA
Q12888	Q16666	TP53BP1	IFI16	8910340	PINA
O43189	P04637	PHF1	TP53	18385154	PINA
P04637	P84090	TP53	ERH	16169070	PINA
P04637	P10415	TP53	BCL2	10.1038/emboj.2009.154, 12667443, 9194558	PINA
O43422	P04637	PRKRIR	TP53	12384512	PINA
P04637	P26447	TP53	S100A4	11527429, 20591429, 19740107	PINA
P05067	Q13625	APP	TP53BP2	11278849	PINA
P04637	P35232	TP53	PHB	16319068, 14500729, 20134482	PINA
P04637	P10828	TP53	THRB	11258898, 8633054	PINA
P04637	P35251	TP53	RFC1	12509469	PINA
P04637	P84022	TP53	SMAD3	12732139	PINA
P02749	P04637	APOH	TP53	18624398	PINA
P01241	Q9UKK9	GH1	NUDT5	17353931	PINA
P04637	Q7L7W2	TP53	Q7L7W2	17245430	PINA
P04637	Q15013	TP53	MAD2L1BP	16169070	PINA
Q13625	Q14457	TP53BP2	BECN1	20562859	PINA
Q5JZ02	Q9Y3C4	TP53RK	TPRKB	16189514	PINA
Q96QZ7	Q9NSI5	MAGI1	IGSF5	12773569	PINA
P04637	Q03013	TP53	GSTM4	16169070	PINA
P55854	Q13625	SUMO3	TP53BP2	16620772	PINA
P04637	P42680	TP53	TEC	15355990	PINA
Q14118	Q96QZ7	DAG1	MAGI1	9169421	PINA
Q8N3V7	Q96QZ7	SYNPO	MAGI1	12042308	PINA
P04637	P42771	TP53	CDKN2A	12446718, 14612427, 9529249	PINA
P04637	P42773	TP53	CDKN2C	16169070	PINA
P04637	P42704	TP53	LRPPRC	20308539	PINA
P01106	Q12888	MYC	TP53BP1	20195357	PINA
P04637	Q8N9N5	TP53	BANP	10.1038/emboj.2009.395, 15701641, 19303885	PINA
O95967	P04637	EFEMP2	TP53	10380882	PINA
P04637	P10275	TP53	AR	19481544, 11504717	PINA
P01241	Q8N5K1	GH1	CISD2	17353931	PINA
O15379	P04637	HDAC3	TP53	10777477	PINA
P04637	P42858	TP53	HTT	10823891	PINA
P04637	Q8N9B5	TP53	JMY	10518217	PINA
O14965	P04637	AURKA	TP53	12198151, 14702041	PINA
O75928	P04637	PIAS2	TP53	11867732, 19901969, 18624398	PINA
P05549	Q96QZ7	TFAP2A	MAGI1	9169421	PINA
O75190	P01241	DNAJB6	GH1	17353931	PINA
P04637	Q15648	TP53	MED1	15848166, 9444950, 11118038	PINA
O60729	P04637	CDC14B	TP53	10644693	PINA
Q13625	Q9H0M0	TP53BP2	WWP1	9169421	PINA
P01241	P62280	GH1	RPS11	17353931	PINA
P04637	Q15572	TP53	TAF1C	10913176	PINA
P04637	Q15573	TP53	TAF1A	10913176	PINA
P04637	Q15596	TP53	NCOA2	20195357	PINA
P04637	Q03468	TP53	ERCC6	10882116, 7663514	PINA
P04637	P31350	TP53	RRM2	12615712	PINA
P04637	Q7Z4G4	TP53	TRMT11	20308539	PINA
P04637	Q7Z566	TP53	ATF3	16169070	PINA
P10415	Q13625	BCL2	TP53BP2	10.1073/pnas.0711269105, 8668206, 18719108	PINA
O14920	P04637	IKBKB	TP53	19883646	PINA
P01241	P08134	GH1	RHOC	17353931	PINA
P04637	Q9NVC6	TP53	MED17	10198638	PINA
P01241	P62158	GH1	CALM1	17353931	PINA
P51795	Q96QZ7	CLCN5	MAGI1	9169421	PINA
P04637	Q03164	TP53	MLL	15960975	PINA
O43242	P01241	PSMD3	GH1	17353931	PINA
P01241	Q16186	GH1	ADRM1	17353931	PINA
P01241	P50395	GH1	GDI2	17353931	PINA
P04637	Q15843	TP53	NEDD8	16620772, 17098746, 17546054, 17369817	PINA
P04637	Q15831	TP53	LKB1	11430832	PINA
Q04206	Q13625	RELA	TP53BP2	10498867, 10.1074/jbc.M708717200	PINA
Q13625	Q9BYC9	TP53BP2	MRPL20	16169070	PINA
P04637	P54725	TP53	RAD23A	15064742	PINA
P04637	A8K7R4	TP53	EFEMP2	10380882	PINA
Q13625	Q9H3D4	TP53BP2	TP63	18275817	PINA
P04637	Q15796	TP53	SMAD2	12732139, 19345189	PINA
O43707	Q96QZ7	ACTN4	MAGI1	12042308	PINA
P04637	Q7Z6Z7	TP53	HUWE1	15989956	PINA
P04637	Q15759	TP53	MAPK11	17254968	PINA
Q13564	Q13625	NAE1	TP53BP2	12694406	PINA
P04637	P61201	TP53	COPS2	11285227	PINA
P04637	P15559	TP53	NQO1	12529318	PINA
P04637	P61289	TP53	PSME3	18309296	PINA
Q13625	Q5JR01	TP53BP2	EEF1A1	16169070	PINA
P01241	P62714	GH1	PPP2CB	17353931	PINA
P04637	P27361	TP53	MAPK3	10958792	PINA
P04637	Q15181	TP53	PPA1	16169070	PINA
P04637	Q03701	TP53	CEBPZ	12534345	PINA
P04637	Q53T94	TP53	TAF1B	10913176	PINA
P04637	Q15102	TP53	PAFAH1B3	16169070	PINA
P04637	Q9NZI8	TP53	IGF2BP1	20308539	PINA
P04637	P61088	TP53	UBE2N	17000756	PINA
P04637	P61086	TP53	UBE2K	10634809	PINA
P04637	Q9NZC7	TP53	WWOX	15580310, 11058590	PINA
P04637	A6NN38	TP53	CARM1	15186775	PINA
P04637	Q5U5Z8	TP53	AGBL2	20308539	PINA
P04637	Q15486	TP53	GUSBP1	16169070	PINA
O76064	Q12888	RNF8	TP53BP1	18001825, 20016603	PINA
P04637	Q9NXR7	TP53	BRE	14636569	PINA
P04637	P27694	TP53	RPA1	11751427, 8663296, 15489903, 15735006	PINA
P04637	P27695	TP53	APEX1	9119221	PINA
P04637	Q7Z2E3	TP53	APTX	15044383	PINA
P00390	Q8NG27	GSR	PJA1	16169070	PINA
P04637	Q15392	TP53	DHCR24	15577914	PINA
P04637	Q15326	TP53	ZMYND11	17721438	PINA
Q13625	Q9BVJ6	TP53BP2	UTP14A	16169070	PINA
P04637	Q15291	TP53	RBBP5	15960975	PINA
P04637	Q7Z3B3	TP53	KIAA1267	19854137	PINA
P04637	Q7Z392	TP53	C4orf41	20308539	PINA
P04637	Q53GS9	TP53	USP39	19615732	PINA
P31947	Q96QZ7	SFN	MAGI1	15778465	PINA
O75925	P04637	PIAS1	TP53	10380882, 11583632, 15133049, 11867732	PINA
P04637	Q9P2P5	TP53	HECW2	12890487	PINA
P01241	P24534	GH1	EEF1B2	17353931	PINA
P01241	P15924	GH1	DSP	17353931	PINA
P04637	Q93009	TP53	USP7	11923872, 16474402, 21170034, 16402859, 17268548, 17380154, 17525743	PINA
P01241	P24752	GH1	ACAT1	17353931	PINA
O15265	Q13625	ATXN7	TP53BP2	16713569	PINA
Q01094	Q12888	E2F1	TP53BP1	8896460	PINA
Q9P035	Q9Y2A0	PTPLAD1	TP53TG1	17353931	PINA
P01241	P62807	GH1	HIST1H2BC	17353931	PINA
P04637	Q9NRR6	TP53	INPP5E	20308539	PINA
P04637	Q9NS56	TP53	TOPORS	15247280, 17290218, 10415337, 11842245, 17803295	PINA
P04637	P22736	TP53	NR4A1	17139261	PINA
P04637	P31947	TP53	SFN	20206173, 11896572, 14517281, 17546054	PINA
P04637	P61964	TP53	WDR5	15960975	PINA
P04637	P61981	TP53	YWHAG	18812399, 19933256, 15324660	PINA
P04637	Q9NRG4	TP53	SMYD2	17108971, 18065756	PINA
O14757	Q12888	CHEK1	TP53BP1	15364958	PINA
P04637	P54132	TP53	BLM	12080066, 15364958, 11781842, 11399766, 15064730	PINA
P04637	Q6NUQ0	TP53	WDR33	16169070	PINA
Q12888	Q13315	TP53BP1	ATM	12697768, 18996087, 12447390, 15456759	PINA
Q13625	Q96QZ7	TP53BP2	MAGI1	9169421	PINA
P61956	Q13625	SUMO2	TP53BP2	16620772	PINA
Q96RU2	Q12888	USP28	TP53BP1	NA	STRING score: 955
P31270	P04637	HOXA11	TP53	NA	STRING score: 815
P78423	P04637	CX3CL1	TP53	NA	STRING score: 899
P21926	P04637	CD9	TP53	NA	STRING score: 931
P10620	P00390	MGST1	GSR	NA	STRING score: 926
P15531	P04637	NME1	TP53	NA	STRING score: 962
Q8NFJ5	P04637	GPRC5A	TP53	NA	STRING score: 817
O43623	P04637	SNAI2	TP53	NA	STRING score: 920
Q8TDY2	P04637	RB1CC1	TP53	NA	STRING score: 866
P60520	Q8IXH6	GABARAPL2	TP53INP2	NA	STRING score: 838
Q96G74	P04637	OTUD5	TP53	NA	STRING score: 927
P20749	P04637	BCL3	TP53	NA	STRING score: 870
P02533	P04637	KRT14	TP53	NA	STRING score: 768
P35900	P04637	KRT20	TP53	NA	STRING score: 782
P08138	P04637	NGFR	TP53	NA	STRING score: 917
Q9NQ88	P04637	C12orf5	TP53	NA	STRING score: 979
O76076	P04637	WISP2	TP53	NA	STRING score: 829
Q92754	P04637	TFAP2C	TP53	NA	STRING score: 735
Q96KQ4	Q53FA7	PPP1R13B	TP53I3	NA	STRING score: 899
Q96KQ4	P04637	PPP1R13B	TP53	NA	STRING score: 997
Q8IW41	P04637	MAPKAPK5	TP53	NA	STRING score: 724
P03372	P04637	ESR1	TP53	NA	STRING score: 985
Q9NPF4	Q96S44	OSGEP	TP53RK	NA	STRING score: 996
Q99741	P04637	CDC6	TP53	NA	STRING score: 811
Q16772	P00390	GSTA3	GSR	NA	STRING score: 912
O15264	P04637	MAPK13	TP53	NA	STRING score: 815
Q96EB6	P04637	SIRT1	TP53	NA	STRING score: 999
P19388	P04637	POLR2E	TP53	NA	STRING score: 915
O75293	P04637	GADD45B	TP53	NA	STRING score: 747
P53778	P04637	MAPK12	TP53	NA	STRING score: 800
P14174	P04637	MIF	TP53	NA	STRING score: 701
P28482	P04637	MAPK1	TP53	NA	STRING score: 975
O43708	P00390	GSTZ1	GSR	NA	STRING score: 912
Q13686	P04637	ALKBH1	TP53	NA	STRING score: 817
Q14973	Q14406	SLC10A1	GH1	NA	STRING score: 704
P46663	P04637	BDKRB1	TP53	NA	STRING score: 800
Q99986	P04637	VRK1	TP53	NA	STRING score: 995
P27695	P00390	APEX1	GSR	NA	STRING score: 832
P27695	P04637	APEX1	TP53	NA	STRING score: 965
P25963	P04637	NFKBIA	TP53	NA	STRING score: 933
O14965	P04637	AURKA	TP53	NA	STRING score: 998
P48637	P00390	GSS	GSR	NA	STRING score: 977
P68400	P04637	CSNK2A1	TP53	NA	STRING score: 849
Q9H490	Q8IXH6	PIGU	TP53INP2	NA	STRING score: 762
Q16594	P04637	TAF9	TP53	NA	STRING score: 997
O75832	P04637	PSMD10	TP53	NA	STRING score: 975
P51784	P04637	USP11	TP53	NA	STRING score: 936
Q9UNF1	P04637	MAGED2	TP53	NA	STRING score: 827
Q8NEM7	P04637	FAM48A	TP53	NA	STRING score: 826
P78549	P04637	NTHL1	TP53	NA	STRING score: 821
P08253	P04637	MMP2	TP53	NA	STRING score: 982
P19387	P04637	POLR2C	TP53	NA	STRING score: 911
P49815	P04637	TSC2	TP53	NA	STRING score: 922
Q9HAW0	P04637	BRF2	TP53	NA	STRING score: 795
Q16698	P00390	DECR1	GSR	NA	STRING score: 823
P00390	P10620	GSR	MGST1	NA	STRING score: 926
P00390	Q16772	GSR	GSTA3	NA	STRING score: 912
P00390	O43708	GSR	GSTZ1	NA	STRING score: 912
P00390	P27695	GSR	APEX1	NA	STRING score: 832
P00390	P48637	GSR	GSS	NA	STRING score: 977
P00390	Q16698	GSR	DECR1	NA	STRING score: 823
P00390	P05164	GSR	MPO	NA	STRING score: 712
P00390	P04406	GSR	GAPDH	NA	STRING score: 815
P00390	P48506	GSR	GCLC	NA	STRING score: 856
P00390	P11926	GSR	ODC1	NA	STRING score: 720
P00390	P35754	GSR	GLRX	NA	STRING score: 855
P00390	P04040	GSR	CAT	NA	STRING score: 843
P00390	P28161	GSR	GSTM2	NA	STRING score: 977
P00390	P00505	GSR	GOT2	NA	STRING score: 784
P00390	P19440	GSR	GGT1	NA	STRING score: 949
P00390	P46439	GSR	GSTM5	NA	STRING score: 912
P00390	P21266	GSR	GSTM3	NA	STRING score: 912
P00390	P22079	GSR	LPO	NA	STRING score: 712
P00390	P00450	GSR	CP	NA	STRING score: 710
P00390	Q13423	GSR	NNT	NA	STRING score: 766
P00390	P30044	GSR	PRDX5	NA	STRING score: 845
P00390	Q99735	GSR	MGST2	NA	STRING score: 912
P00390	Q00796	GSR	SORD	NA	STRING score: 789
P00390	Q9C000	GSR	NLRP1	NA	STRING score: 762
P00390	P00441	GSR	SOD1	NA	STRING score: 782
P00390	P52209	GSR	PGD	NA	STRING score: 902
P00390	Q7RTV2	GSR	GSTA5	NA	STRING score: 912
P00390	P15121	GSR	AKR1B1	NA	STRING score: 730
P00390	P04731	GSR	MT1A	NA	STRING score: 724
P00390	O60760	GSR	HPGDS	NA	STRING score: 748
P00390	Q8TED1	GSR	GPX8	NA	STRING score: 900
P00390	P09488	GSR	GSTM1	NA	STRING score: 912
P00390	P15559	GSR	NQO1	NA	STRING score: 838
P00390	P48735	GSR	IDH2	NA	STRING score: 784
P00390	P08263	GSR	GSTA1	NA	STRING score: 924
P00390	P04179	GSR	SOD2	NA	STRING score: 809
P00390	Q9UJ14	GSR	GGT7	NA	STRING score: 949
P00390	P30613	GSR	PKLR	NA	STRING score: 710
P00390	P00167	GSR	CYB5A	NA	STRING score: 750
P00390	Q9H4Y5	GSR	GSTO2	NA	STRING score: 912
P00390	Q8TD30	GSR	GPT2	NA	STRING score: 732
P00390	P36969	GSR	GPX4	NA	STRING score: 978
P00390	P08237	GSR	PFKM	NA	STRING score: 706
P00390	Q96SL4	GSR	GPX7	NA	STRING score: 905
P00390	O14880	GSR	MGST3	NA	STRING score: 912
P00390	P78417	GSR	GSTO1	NA	STRING score: 919
P00390	Q03013	GSR	GSTM4	NA	STRING score: 912
P00390	P48507	GSR	GCLM	NA	STRING score: 713
P00390	O15217	GSR	GSTA4	NA	STRING score: 937
P00390	O95881	GSR	TXNDC12	NA	STRING score: 913
P00390	Q04760	GSR	GLO1	NA	STRING score: 780
P00390	P10599	GSR	TXN	NA	STRING score: 898
P00390	O95479	GSR	H6PD	NA	STRING score: 786
P00390	P04798	GSR	CYP1A1	NA	STRING score: 780
P00390	Q6P531	GSR	GGT6	NA	STRING score: 899
P00390	P22352	GSR	GPX3	NA	STRING score: 966
P00390	P18283	GSR	GPX2	NA	STRING score: 960
P00390	P11413	GSR	G6PD	NA	STRING score: 893
P00390	P24298	GSR	GPT	NA	STRING score: 732
P00390	P09211	GSR	GSTP1	NA	STRING score: 922
P00390	P29401	GSR	TKT	NA	STRING score: 786
P00390	P07203	GSR	GPX1	NA	STRING score: 978
P00390	P09210	GSR	GSTA2	NA	STRING score: 912
O00220	P04637	TNFRSF10A	TP53	NA	STRING score: 995
Q8N7H5	P04637	PAF1	TP53	NA	STRING score: 899
Q9HD89	P01241	RETN	GH1	NA	STRING score: 815
P36954	P04637	POLR2I	TP53	NA	STRING score: 899
P01137	P04637	TGFB1	TP53	NA	STRING score: 705
P81172	P04637	HAMP	TP53	NA	STRING score: 833
P49840	P04637	GSK3A	TP53	NA	STRING score: 872
P20719	P04637	HOXA5	TP53	NA	STRING score: 905
P05121	P04637	SERPINE1	TP53	NA	STRING score: 916
O60869	P04637	EDF1	TP53	NA	STRING score: 899
P08670	P04637	VIM	TP53	NA	STRING score: 819
P05164	P00390	MPO	GSR	NA	STRING score: 712
P05813	P01241	CRYBA1	GH1	NA	STRING score: 771
P17844	P04637	DDX5	TP53	NA	STRING score: 995
Q92830	P04637	KAT2A	TP53	NA	STRING score: 907
P02771	P04637	AFP	TP53	NA	STRING score: 982
P27701	P04637	CD82	TP53	NA	STRING score: 997
P11142	P04637	HSPA8	TP53	NA	STRING score: 933
P24385	P04637	CCND1	TP53	NA	STRING score: 982
Q13490	P04637	BIRC2	TP53	NA	STRING score: 794
P46527	P04637	CDKN1B	TP53	NA	STRING score: 922
Q13889	P04637	GTF2H3	TP53	NA	STRING score: 914
P11473	P04637	VDR	TP53	NA	STRING score: 963
P04406	P00390	GAPDH	GSR	NA	STRING score: 815
Q6NSW7	P04637	NANOG	TP53	NA	STRING score: 835
Q9H9S0	P04637	NANOG	TP53	NA	STRING score: 835
Q9Y478	P04637	PRKAB1	TP53	NA	STRING score: 899
Q9GZX7	Q12888	AICDA	TP53BP1	NA	STRING score: 825
P48506	P00390	GCLC	GSR	NA	STRING score: 856
Q16539	P04637	MAPK14	TP53	NA	STRING score: 979
P20226	P04637	TBP	TP53	NA	STRING score: 999
P10912	Q14406	GHR	GH1	NA	STRING score: 999
P10912	P01241	GHR	GH1	NA	STRING score: 999
P05112	P04637	IL4	TP53	NA	STRING score: 800
P40692	P04637	MLH1	TP53	NA	STRING score: 995
P41182	P04637	BCL6	TP53	NA	STRING score: 995
Q9H8V3	P04637	ECT2	TP53	NA	STRING score: 816
P19525	P04637	EIF2AK2	TP53	NA	STRING score: 985
P43246	P04637	MSH2	TP53	NA	STRING score: 998
P11926	P00390	ODC1	GSR	NA	STRING score: 720
Q03701	P04637	CEBPZ	TP53	NA	STRING score: 925
P08567	P04637	PLEK	TP53	NA	STRING score: 800
P52701	P04637	MSH6	TP53	NA	STRING score: 704
P41143	Q8IXH6	OPRD1	TP53INP2	NA	STRING score: 786
O95140	P04637	MFN2	TP53	NA	STRING score: 832
P07339	P04637	CTSD	TP53	NA	STRING score: 980
P01286	P01241	GHRH	GH1	NA	STRING score: 970
P35754	P00390	GLRX	GSR	NA	STRING score: 855
Q53FA7	Q96KQ4	TP53I3	PPP1R13B	NA	STRING score: 899
Q53FA7	Q99988	TP53I3	GDF15	NA	STRING score: 733
Q53FA7	P55060	TP53I3	CSE1L	NA	STRING score: 952
Q53FA7	P04637	TP53I3	TP53	NA	STRING score: 994
Q53FA7	O14681	TP53I3	EI24	NA	STRING score: 800
Q53FA7	Q13625	TP53I3	TP53BP2	NA	STRING score: 899
Q53FA7	Q5VY09	TP53I3	IER5	NA	STRING score: 702
Q53FA7	Q96F07	TP53I3	CYFIP2	NA	STRING score: 820
P28562	P04637	DUSP1	TP53	NA	STRING score: 851
P18146	P04637	EGR1	TP53	NA	STRING score: 991
P25208	P04637	NFYB	TP53	NA	STRING score: 969
P04040	P00390	CAT	GSR	NA	STRING score: 843
Q92847	P01241	GHSR	GH1	NA	STRING score: 802
P50591	P04637	TNFSF10	TP53	NA	STRING score: 966
P28161	P00390	GSTM2	GSR	NA	STRING score: 977
Q15672	P04637	TWIST1	TP53	NA	STRING score: 833
P63167	Q12888	DYNLL1	TP53BP1	NA	STRING score: 943
P38936	P04637	CDKN1A	TP53	NA	STRING score: 999
P38936	Q96A56	CDKN1A	TP53INP1	NA	STRING score: 733
P00505	P00390	GOT2	GSR	NA	STRING score: 784
P10914	P04637	IRF1	TP53	NA	STRING score: 968
P30305	P04637	CDC25B	TP53	NA	STRING score: 729
P55000	P04637	SLURP1	TP53	NA	STRING score: 800
Q9HB09	P04637	BCL2L12	TP53	NA	STRING score: 828
Q9ULZ3	P04637	PYCARD	TP53	NA	STRING score: 907
Q13526	P04637	PIN1	TP53	NA	STRING score: 996
P04792	P04637	HSPB1	TP53	NA	STRING score: 901
P60896	P04637	SHFM1	TP53	NA	STRING score: 907
P19440	P00390	GGT1	GSR	NA	STRING score: 949
P15018	P04637	LIF	TP53	NA	STRING score: 916
Q8IXJ6	P04637	SIRT2	TP53	NA	STRING score: 790
O75925	P04637	PIAS1	TP53	NA	STRING score: 993
O75925	Q12888	PIAS1	TP53BP1	NA	STRING score: 776
P34810	P04637	CD68	TP53	NA	STRING score: 720
Q92843	P04637	BCL2L2	TP53	NA	STRING score: 924
Q15843	P04637	NEDD8	TP53	NA	STRING score: 998
Q7LG56	P04637	RRM2B	TP53	NA	STRING score: 999
P04049	P04637	RAF1	TP53	NA	STRING score: 809
Q9NVC6	P04637	MED17	TP53	NA	STRING score: 816
P19971	P04637	TYMP	TP53	NA	STRING score: 805
Q8IWT3	P04637	CUL9	TP53	NA	STRING score: 975
P13647	P04637	KRT5	TP53	NA	STRING score: 810
O43819	P04637	SCO2	TP53	NA	STRING score: 888
Q99988	Q53FA7	GDF15	TP53I3	NA	STRING score: 733
Q99988	P04637	GDF15	TP53	NA	STRING score: 995
O00268	P04637	TAF4	TP53	NA	STRING score: 923
Q13263	P04637	TRIM28	TP53	NA	STRING score: 914
Q13263	Q12888	TRIM28	TP53BP1	NA	STRING score: 704
Q9NQX6	P04637	ZNF331	TP53	NA	STRING score: 901
P55055	P04637	NR1H2	TP53	NA	STRING score: 961
P01225	P01241	FSHB	GH1	NA	STRING score: 734
Q92922	P04637	SMARCC1	TP53	NA	STRING score: 814
P27694	P04637	RPA1	TP53	NA	STRING score: 999
P27694	Q12888	RPA1	TP53BP1	NA	STRING score: 838
Q15554	Q12888	TERF2	TP53BP1	NA	STRING score: 734
P78504	P04637	JAG1	TP53	NA	STRING score: 706
P20309	Q13625	CHRM3	TP53BP2	NA	STRING score: 899
P78396	P04637	CCNA1	TP53	NA	STRING score: 949
P78368	P04637	CSNK1G2	TP53	NA	STRING score: 902
P01116	P04637	KRAS	TP53	NA	STRING score: 969
Q9BV47	P04637	DUSP26	TP53	NA	STRING score: 929
Q9H9T3	P04637	ELP3	TP53	NA	STRING score: 907
Q9UBB5	Q12888	MBD2	TP53BP1	NA	STRING score: 726
P14635	P04637	CCNB1	TP53	NA	STRING score: 995
P50613	P04637	CDK7	TP53	NA	STRING score: 999
P40337	P04637	VHL	TP53	NA	STRING score: 912
P01222	P01241	TSHB	GH1	NA	STRING score: 731
P46439	P00390	GSTM5	GSR	NA	STRING score: 912
P21266	P00390	GSTM3	GSR	NA	STRING score: 912
Q99523	P04637	SORT1	TP53	NA	STRING score: 901
P51946	P04637	CCNH	TP53	NA	STRING score: 982
Q8TDN4	P04637	CABLES1	TP53	NA	STRING score: 967
Q92466	P04637	DDB2	TP53	NA	STRING score: 997
P25054	P04637	APC	TP53	NA	STRING score: 981
P11802	P04637	CDK4	TP53	NA	STRING score: 978
O75529	P04637	TAF5L	TP53	NA	STRING score: 899
Q8N682	P04637	DRAM1	TP53	NA	STRING score: 965
P05231	P04637	IL6	TP53	NA	STRING score: 838
P05231	Q14406	IL6	GH1	NA	STRING score: 723
Q8N0Z6	P04637	TTC5	TP53	NA	STRING score: 899
O95251	P04637	KAT7	TP53	NA	STRING score: 738
P04921	P01241	GYPC	GH1	NA	STRING score: 786
P48745	P04637	NOV	TP53	NA	STRING score: 800
Q92759	P04637	GTF2H4	TP53	NA	STRING score: 914
Q7Z419	P04637	RNF144B	TP53	NA	STRING score: 931
O60603	P01241	TLR2	GH1	NA	STRING score: 855
P45452	P04637	MMP13	TP53	NA	STRING score: 802
P07996	P04637	THBS1	TP53	NA	STRING score: 962
P22607	P04637	FGFR3	TP53	NA	STRING score: 814
