UniProt/SwissProt Accession	HGNC symbol
Q9H992	MARCH7
Q9H992	MARCH7
Q9NYC9	DNAH9
Q9BYE0	HES7
Q8IX05	CD302
O15534	PER1
Q6ZP29	PQLC2
Q6ZP29	PQLC2
O60449	LY75
Q9Y2G8	DNAJC16
Q9P1Z0	ZBTB4
Q9P1Z0	ZBTB4
P63027	VAMP2
Q9H3Q3	GAL3ST2
P47756	CAPZB
P0C7Q6	POLR2A
P0C7Q6	SLC35G6
P47756	CAPZB
P24928	POLR2A
P24928	SLC35G6
Q8WWR8	NEU4
Q8WWR8	NEU4
Q6UX40	TMEM107
Q8WWR8	NEU4
Q8WWR8	NEU4
Q8WWR8	NEU4
P21912	SDHB
Q08AI6	SLC38A11
Q08AI6	SLC38A11
P49747	COMP
O75400	PRPF40A
P17022	ZNF18
Q96GS4	C17orf59
P17022	ZNF18
P45985	MAP2K4
Q96GD4	AURKB
O43508	TNFSF12
Q58F21	BRDT
Q9Y2J8	PADI2
Q58F21	BRDT
Q58F21	BRDT
Q58F21	BRDT
Q32MQ0	ZNF750
Q67FW5	B3GNTL1
Q641Q3	METRNL
Q9BSE5	AGMAT
Q8IZQ8	MYOCD
Q15116	PDCD1
Q2NKJ3	CTC1
Q2NKJ3	CTC1
Q5TDH0	DDI2
Q92900	UPF1
Q14D33	C2orf85
Q13018	PLA2R1
Q9NY46	SCN3A
O75888	TNFSF13
Q5TGZ0	C1orf151
P27544	CERS1
Q9ULC6	PADI1
P27539	GDF1
Q92681	RSC1A1
Q8IUS5	EPHX4
P41271	NBL1
P41271	NBL1
O15067	PFAS
Q8IWE5	PLEKHM2
O14579	COPE
Q5XKL5	BTBD8
Q9ULW8	PADI3
Q9H4L4	SENP3
Q17R89	ARHGAP44
Q9UPP5	KIAA1107
Q5VVC0	C1orf146
Q8WV83	SLC35F5
P60842	EIF4A1
Q8N6S5	ARL6IP6
Q92990	GLMN
Q9Y6V7	DDX49
Q6PIV7	SLC25A34
A0PJX8	TMEM82
P61158	ACTR3
Q9NS64	RPRM
Q9NSC5	HOMER3
Q9NSC5	HOMER3
Q8IUC8	GALNT13
Q8IX01	SUGP2
Q8IX01	SUGP2
Q8WUP2	FBLIM1
P50406	HTR6
Q8WUP2	FBLIM1
Q5TGY1	TMCO4
Q8N608	DPP10
Q8N608	DPP10
Q8N608	DPP10
Q8N608	DPP10
Q8N608	DPP10
Q8N608	DPP10
